x1,x2,objective
0.694829,0.317099,-0.000000
0.694829,0.317099,-0.000000
0.694829,0.317099,-0.000000
0.694829,0.317099,-0.000000
0.694829,0.317099,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.950222,0.034446,-0.000000
0.438744,0.381558,-0.000000
0.438744,0.381558,-0.000000
0.438744,0.381558,-0.000000
0.438744,0.381558,-0.000000
0.438744,0.381558,-0.000000
0.438744,0.381558,-0.000000
0.438744,0.381558,-0.000000
0.438744,0.381558,-0.000000
0.438744,0.381558,-0.000000
0.438744,0.381558,-0.000000
0.765517,0.795200,-0.018182
0.765517,0.795200,-0.018182
0.765517,0.795200,-0.018182
0.765517,0.795200,-0.018182
0.688965,0.815080,-0.021277
0.688965,0.815080,-0.021277
0.612413,0.874720,-0.022222
0.612413,0.834960,-0.023810
0.612413,0.834960,-0.023810
0.497586,0.844900,-0.026316
0.497586,0.844900,-0.026316
0.382758,0.775320,-0.040000
0.172241,0.859810,-0.050000
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.057414,0.790230,-0.052632
0.186873,0.489764,-0.000000
0.186873,0.514253,-0.050000
0.186873,0.514253,-0.050000
0.186873,0.514253,-0.050000
0.186873,0.514253,-0.050000
0.186873,0.514253,-0.050000
0.186873,0.514253,-0.050000
0.186873,0.514253,-0.050000
0.186873,0.514253,-0.050000
0.186873,0.514253,-0.050000
0.186873,0.514253,-0.050000
0.445586,0.646313,-0.041667
0.445586,0.646313,-0.041667
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.467866,0.613997,-0.043478
0.709365,0.754687,-0.019231
0.709365,0.754687,-0.019231
0.638428,0.811288,-0.023256
0.602960,0.764120,-0.024390
0.602960,0.764120,-0.024390
0.425619,0.754687,-0.040000
0.425619,0.754687,-0.040000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.319214,0.688652,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.276025,0.679703,-0.050000
0.655098,0.162612,-0.000000
0.655098,0.162612,-0.000000
0.655098,0.162612,-0.000000
0.655098,0.162612,-0.000000
0.655098,0.162612,-0.000000
0.655098,0.162612,-0.000000
0.655098,0.162612,-0.000000
0.655098,0.162612,-0.000000
0.655098,0.162612,-0.000000
0.655098,0.162612,-0.000000
